2015.09.18,04:00,1.14026,1.14105,1.13905,1.14036,9350
2015.09.18,08:00,1.14037,1.14520,1.13944,1.14480,20714
2015.09.18,12:00,1.14478,1.14592,1.14094,1.14218,22758
2015.09.18,16:00,1.14218,1.14288,1.13494,1.13659,23211
2015.09.18,20:00,1.13660,1.13669,1.12686,1.12897,14776
2015.09.21,00:00,1.12809,1.13061,1.12806,1.13047,7805
2015.09.21,04:00,1.13047,1.13209,1.13018,1.13137,8799
2015.09.21,08:00,1.13138,1.13290,1.12879,1.12962,19296
2015.09.21,12:00,1.12963,1.12987,1.12334,1.12440,19150
2015.09.21,16:00,1.12440,1.12530,1.11805,1.12115,22620
2015.09.21,20:00,1.12116,1.12119,1.11871,1.11883,9396
2015.09.22,00:00,1.11881,1.11963,1.11821,1.11937,6108
2015.09.22,04:00,1.11936,1.12053,1.11931,1.12002,6523
2015.09.22,08:00,1.12002,1.12065,1.11544,1.11954,21332
2015.09.22,12:00,1.11956,1.11997,1.11474,1.11539,20338
2015.09.22,16:00,1.11537,1.11687,1.11124,1.11233,23553
2015.09.22,20:00,1.11232,1.11394,1.11176,1.11184,9267
2015.09.23,00:00,1.11183,1.11326,1.11042,1.11066,6365
2015.09.23,04:00,1.11065,1.11396,1.11065,1.11345,7540
2015.09.23,08:00,1.11346,1.11535,1.11064,1.11116,18440
2015.09.23,12:00,1.11116,1.11747,1.11102,1.11308,19324
2015.09.23,16:00,1.11305,1.11896,1.11143,1.11726,25366
2015.09.23,20:00,1.11725,1.12123,1.11703,1.11841,12615
2015.09.24,00:00,1.11855,1.11908,1.11749,1.11799,7081
2015.09.24,04:00,1.11798,1.11945,1.11635,1.11916,10580
2015.09.24,08:00,1.11914,1.12222,1.11804,1.11979,19274
2015.09.24,12:00,1.11979,1.12563,1.11921,1.12503,23845
2015.09.24,16:00,1.12504,1.12950,1.12358,1.12538,26430
2015.09.24,20:00,1.12537,1.12573,1.12149,1.12285,13563
2015.09.25,00:00,1.12286,1.12327,1.11591,1.11684,14150
